2026-02-19 20:19:46,067 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_parse_count0\test.blast6
2026-02-19 20:19:46,073 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_parse_fields0\test.blast6
2026-02-19 20:19:46,089 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_identity_filter0\test.blast6
2026-02-19 20:19:46,104 | alignment.wrapper              | INFO     | Filtered to 2 / 3 hits (identity>=70.0%, coverage>=0.0%)
2026-02-19 20:19:46,134 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_coverage_filter0\test.blast6
2026-02-19 20:19:46,134 | alignment.wrapper              | INFO     | Filtered to 2 / 3 hits (identity>=0.0%, coverage>=60.0%)
2026-02-19 20:19:46,171 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_combined_filter0\test.blast6
2026-02-19 20:19:46,171 | alignment.wrapper              | INFO     | Filtered to 1 / 3 hits (identity>=90.0%, coverage>=60.0%)
2026-02-19 20:19:46,177 | alignment.wrapper              | INFO     | Filtered to 0 / 0 hits (identity>=70.0%, coverage>=50.0%)
2026-02-19 20:19:47,257 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:47,766 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:49,398 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:49,623 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:50,845 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:51,195 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:51,672 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:51,814 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:52,385 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:52,449 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:52,831 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:52,895 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:53,309 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:53,356 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:53,388 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:53,388 | classifier.pathogenicity       | INFO     | Comparison complete: 4 categories across samples 1 vs 1
2026-02-19 20:19:53,771 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-19 20:19:53,819 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:53,850 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-19 20:19:53,850 | classifier.pathogenicity       | INFO     | Comparison complete: 4 categories across samples 1 vs 1
2026-02-19 20:19:54,771 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_register_sample0\test.db)
2026-02-19 20:19:54,867 | db.manager                     | INFO     | Registered sample 'test_sample' (id=1)
2026-02-19 20:19:55,184 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_duplicate_sample_returns_0\test.db)
2026-02-19 20:19:55,248 | db.manager                     | INFO     | Registered sample 'dup' (id=1)
2026-02-19 20:19:55,248 | db.manager                     | INFO     | Sample 'dup' already exists (id=1)
2026-02-19 20:19:55,614 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_get_sample0\test.db)
2026-02-19 20:19:55,646 | db.manager                     | INFO     | Registered sample 'lookup_test' (id=1)
2026-02-19 20:19:55,916 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_get_sample_missing0\test.db)
2026-02-19 20:19:56,218 | db.manager                     | INFO     | DatabaseManager initialised (url=sqlite:///C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-0\test_list_samples0\test.db)
2026-02-19 20:19:56,297 | db.manager                     | INFO     | Registered sample 's1' (id=1)
